2024-05-07 21:12:20 - Node: node7, Replicas: 0
2024-05-07 21:13:20 - Node: node7, Replicas: 0
2024-05-07 21:14:20 - Node: node7, Replicas: 1
2024-05-07 21:15:20 - Node: node7, Replicas: 2
2024-05-07 21:16:20 - Node: node7, Replicas: 5
2024-05-07 21:17:21 - Node: node7, Replicas: 5
2024-05-07 21:18:21 - Node: node7, Replicas: 3
2024-05-07 21:19:21 - Node: node7, Replicas: 3
2024-05-07 21:20:21 - Node: node7, Replicas: 4
2024-05-07 21:21:21 - Node: node7, Replicas: 4
2024-05-07 21:22:21 - Node: node7, Replicas: 4
2024-05-07 21:23:21 - Node: node7, Replicas: 4
2024-05-07 21:24:21 - Node: node7, Replicas: 4
2024-05-07 21:25:21 - Node: node7, Replicas: 4
2024-05-07 21:26:21 - Node: node7, Replicas: 4
2024-05-07 21:27:21 - Node: node7, Replicas: 4
2024-05-07 21:28:21 - Node: node7, Replicas: 4
2024-05-07 21:29:21 - Node: node7, Replicas: 4
2024-05-07 21:30:21 - Node: node7, Replicas: 4
2024-05-07 21:31:21 - Node: node7, Replicas: 4
2024-05-07 21:32:21 - Node: node7, Replicas: 4
2024-05-07 21:33:21 - Node: node7, Replicas: 4
2024-05-07 21:34:21 - Node: node7, Replicas: 4
2024-05-07 21:35:21 - Node: node7, Replicas: 4
2024-05-07 21:36:21 - Node: node7, Replicas: 4
2024-05-07 21:37:21 - Node: node7, Replicas: 4
2024-05-07 21:38:21 - Node: node7, Replicas: 3
2024-05-07 21:39:21 - Node: node7, Replicas: 4
2024-05-07 21:40:21 - Node: node7, Replicas: 4
2024-05-07 21:41:21 - Node: node7, Replicas: 4
2024-05-07 21:42:21 - Node: node7, Replicas: 4
2024-05-07 21:43:21 - Node: node7, Replicas: 4
2024-05-07 21:44:21 - Node: node7, Replicas: 4
2024-05-07 21:45:21 - Node: node7, Replicas: 4
2024-05-07 21:46:21 - Node: node7, Replicas: 4
2024-05-07 21:47:21 - Node: node7, Replicas: 4
2024-05-07 21:48:21 - Node: node7, Replicas: 4
2024-05-07 21:49:21 - Node: node7, Replicas: 4
2024-05-07 21:50:21 - Node: node7, Replicas: 4
2024-05-07 21:51:21 - Node: node7, Replicas: 4
2024-05-07 21:52:21 - Node: node7, Replicas: 4
2024-05-07 21:53:21 - Node: node7, Replicas: 4
2024-05-07 21:54:21 - Node: node7, Replicas: 4
